unidade,ip_lan,mascara,descricao;
campinas - 00,172.17.0.1,/24,Lan Local;
paulinia - 02,172.17.2.1,/23,Lan Local;
cuiaba - 04,172.17.4.1,/24,Lan Local;
betim - 06,172.17.6.1,/24,Lan Local;
campo grande - 08,172.17.8.1,/24,Lan Local;
sao goncalo do sapucai - 10,172.17.10.1;
tatuape - 12,172.17.12.1,/24,Lan Local;
araucaria - 14,172.17.14.1,/24,Lan Local;
uberlandia - 16,172.17.16.1,/24,Lan Local;
itabuna - 18,172.17.18.1,/24,Lan Local;
esteio - 20,172.17.20.1,/24,Lan Local;
senador canedo - 22,172.17.22.1,/24,Lan Local;
guarulhos - baguar - bairro campinas - 24,172.17.24.1,/24,Lan Local;
sao jose dos campos - 26,172.17.26.1,/24,Lan Local;
itajai - 28,172.17.28.1,/24,Lan Local;
uberaba - 30,172.17.30.1,/24,Lan Local;
jequie - 32,172.17.32.1,/24,Lan Local;
ribeirao preto - 34,172.17.34.1,/24,Lan Local;
sao luis - 36,172.17.36.1,/24,Lan Local;
bauru - 38,172.17.38.1,/24,Lan Local;
sao francisco do conde - 40,172.17.40.1,/24,Lan Local;
sinop - 42,172.17.42.1,/24,Lan Local;
cabo do santo agostinho - 44,172.17.44.1,/24,Lan Local;
rondonopolis - 46,172.17.46.1,/24,Lan Local;
luis eduardo magalhaes - 48,172.17.48.1,/24,Lan Local;
porto nacional - 50,172.17.50.1,/24,Lan Local;
paulinia rm - 52,172.17.52.1,/24,Lan Local;
guarulhos - telig - jardim santo afonso - 54,172.17.54.1,/24,Lan Local;
araucaria 02 - 56,172.17.56.1,/24,Lan Local;
barreiras - 58,172.17.58.1,/24,Lan Local;
magnum auto posto - paulinia,172.17.58.1,/24,Lan Local;
posto - nogueira cassaro - campo grande,10.152.10.1,/24,Lan Local;
posto - imbirussu - campo grande,10.152.11.1,/24,Lan Local;
